airing_date,broadcast_date,cover_image,demographic,duration,ending_themes,english_title,episodes_number,favorites,genres,id,japanese_title,licensors,members,opening_themes,original_title,popularity,premiered_date,producers,ranked,rating,related_entries,resources_links,score,social_links,source,status,streaming_links,studios,synonyms,synopsis,themes,type
"Jun 1, 1996",,https://cdn.myanimelist.net/images/anime/1462/138377.jpg,Kids,2 min.,,,1,0,,56606,ずっと友達,,101,,Zutto Tomodachi,#24146,,NHK,N/A,G - All Ages,,https://ja.wikipedia.org/wiki/%E3%81%BF%E3%82%93%E3%81%AA%E3%81%AE%E3%81%86%E3%81%9F%E5%B9%B4%E5%BA%A6%E5%88%A5%E6%94%BE%E9%80%81%E6%A5%BD%E6%9B%B2%E4%B8%80%E8%A6%A7_(1990%E5%B9%B4%E4%BB%A3)#1996%E5%B9%B46-7%E6%9C%88,N/A,https://www.nhk.or.jp/minna/songs/MIN199606_04,Original,Finished Airing,,,Minna no Uta,Music video for the song Zutto Tomodachi by Keiko Utsumi that was featured on NHK's Minna no Uta program.,Music,
"Oct 5, 2023 to Dec 21, 2023",Thursdays at 23:30 (JST),https://cdn.myanimelist.net/images/anime/1194/138253.jpg,Shoujo,23 min. per ep.,'Sasakure (ささくれ)' by Aoi Kubo (久保あおい),The Yuzuki Family's Four Sons,12,347,,55153,柚木さんちの四兄弟。,,"63,025",'Naite Iinda (泣いていいんだ)' by flumpool,Yuzuki-san Chi no Yonkyoudai.,#2904,Fall 2023,"Pierrot,Movic,AT-X,Tokyo MX,Avex Pictures,BS11,Shogakukan,U-NEXT,A-Sketch,Bit grooove promotion",#853,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/115475/Yuzuki-san_Chi_no_Yonkyoudai),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=18015,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=28074,https://en.wikipedia.org/wiki/Yuzuki-san_Chi_no_Yon_Ky%C5%8Ddai,https://cal.syoboi.jp/tid/6796",7.88,"https://yuzukisan-anime.com/,https://twitter.com/yuzukisan_anime",,Finished Airing,"http://www.crunchyroll.com/series-283749,https://animedigitalnetwork.fr/,https://ani.gamer.com.tw/",Shuka,,"The Yuzuki family, which consists of four brothers, lost their parents two years ago. Hayato, the eldest son, is a hard worker and the pillar of the family. Mikoto, the second son, is calm and collected, but he has a soft spot for his younger brother Minato, whom he adores and thinks is cute. Minato, the third son, is energetic and adores his brothers, but he is clumsy and awkward. Gakuto, the fourth son, is a studious and mature first-grader who is often referred to as a 'wise man.' The manga depicts the four brothers' daily lives as they navigate their family, school, and community. (Source: MAL News)",School,TV
"May 20, 2015",,https://cdn.myanimelist.net/images/anime/1084/126357.jpg,,1 min.,,,1,0,,52566,XYZ NOTE,,164,,XYZ Note,#21984,,,N/A,G - All Ages,,,N/A,https://yog.co.kr/xyz-note,Original,Finished Airing,,studio YOG,,,Music,
"Mar 30, 2002",,https://cdn.myanimelist.net/images/anime/1/1290.jpg,,1 hr. 40 min.,,Patlabor Movie 3: WXIII,1,19,"Sci-Fi,Mystery",1290,WXIII 機動警察パトレイバー,"Maiden Japan,Geneon Entertainment USA","13,171",,WXIII Kidou Keisatsu Patlabor,#5980,,"Bandai Visual,Shochiku,Tohokushinsha Film Corporation,Omnibus Promotion",#6098,R - 17+ (violence & profanity),Prequel (Movie) - (https://myanimelist.net/anime/1096/Kidou_Keisatsu_Patlabor_2_the_Movie),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=537,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=660",6.66,http://www.bandaivisual.co.jp/patlabor/,Original,Finished Airing,https://www.hidive.com/movies/patlabor-wxiii,Madhouse,"Patlabor the Movie 3, Mobile Police Patlabor: WXIII","When the level of Labor accidents begin to escalate around Tokyo Bay, police detectives Kusumi and Hata are assigned to investigate. What they discover leads to a series of government cover-ups, conspiracy concerning a new biological weapon entitled WXIII-Wasted Thirteen and a tragic, personal connection to Hata. The only hope to stop this threat is to cooperate with the military and lead WXIII into a showdown with the Labors of Special Vehicle Division 2. (Source: ANN)",,Movie
"Jul 7, 2024 to Sep 22, 2024",Sundays at 23:30 (JST),https://cdn.myanimelist.net/images/anime/1606/144506.jpg,,23 min. per ep.,"1: 'Champagne ni Nari Kirenai Watashi o (シャンパンになりきれない私を)' by Awayuki Kokorone (CV: Ayane Sakura) (eps 1),2: 'Otome no Love Game (男と女のラブゲーム)' by Awayuki Kokorone (CV: Ayane Sakura), Sei Utsuki (CV: Yuu Kobayashi) (eps 2),3: 'Sweet Magic (スイートマジック)' by Hikari Mitsuriya (CV: Machico) (eps 3),4: 'Live Start (ライブスタート)' by Live-ON CAST (eps 4),5: 'Odoru Aka-chan Ningen (踊る赤ちゃん人間)' by Kaeru Yamatani (CV: Ai Kayano) (eps 5),6: 'Futatsu no Hoshi (ふたつの星)' by Shion Kaminari (CV: Sumire Morohoshi), Sei Utsuki (CV: (Yuu Kobayashi) (eps 6),7: 'Not Bocchi... Natsu (ノットボッチ...夏)' by Chami Yanagase (CV: Sayaka Kikuchi) (eps 7),8: 'Cobalt Memories (コバルトメモリーズ)' by Mashiro Irodori (CV: Saku Mizuno) (eps 8),9: 'Sorairo no Yubisaki (空色の指先)' by Eirai Sonokaze (CV: M・A・O) (eps 9),10: '2001-nen no Game Kiss (2001年のゲーム・キッス)' by Nekoma Hirune (CV: Ayaka Ohashi) (eps 10),11: 'Fuyu no Hi no Étranger (冬の日のエトランゼ)' by Alice Souma (CV: Azusa Tadokoro) (eps 11),12: 'Live Start ALL STAR Ver. (ライブスタート ALL STAR Ver.)' by Live-ON CAST (eps 12)",VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,12,200,,54284,VTuberなんだが配信切り忘れたら伝説になってた,,"62,666",'Virtual Showtime! (バーチャル・ショータイム！)' by Awayuki Kokorone (CV: Ayane Sakura) & Shuwa-chan (CV: Ayane Sakura),VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta,#2914,Summer 2024,"Movic,AT-X,Studio Mausu,BS NTV,Kadokawa,Kyoto Broadcasting System,DAXEL",#4003,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/162253/VTuber_Nanda_ga_Haishin_Kiri_Wasuretara_Densetsu_ni_Natteta),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=17828,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=26966,https://ja.wikipedia.org/wiki/VTuber%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8C%E9%85%8D%E4%BF%A1%E5%88%87%E3%82%8A%E5%BF%98%E3%82%8C%E3%81%9F%E3%82%89%E4%BC%9D%E8%AA%AC%E3%81%AB%E3%81%AA%E3%81%A3%E3%81%A6%E3%81%9F,https://cal.syoboi.jp/tid/7111",7.07,"https://vden.jp,https://twitter.com/vden_anime",,Finished Airing,"http://www.crunchyroll.com/series-283850,https://www.youtube.com/channel/UC0wNSTMWIL3qaorLx0jie6A,https://ani.gamer.com.tw/",TNK,,"Third-generation VTuber Awayuki Kokorone's fans know her as a prim, proper, and graceful idol. Though she has considerably less fans compared to other VTubers in the Live-On agency, Awayuki's loyal following supports her every step of the way. One night, Awayuki forgets to turn her livestream off—a blunder that changes the trajectory of her online career forever. Contrary to her usual angelic persona, her genuine brutish personality is exposed to more than ten thousand people who tuned in. Awayuki reveals that she is nothing more than a severe alcoholic who spouts profanities nonstop, constantly viewing her fellow VTubers with lustful admiration. However, instead of being reprimanded by her agency, Awayuki receives praise: her unhinged, disorderly conduct was Live-On's actual expectation of her. Now having her big break and permission to stream without holding anything back, the once-unpopular VTuber begins her rise to stardom. [Written by MAL Rewrite]",,TV
"Nov 23, 2006",,https://cdn.myanimelist.net/images/anime/1178/128407.jpg,Kids,11 min.,,,1,0,,53136,うずらちゃんのかくれんぼ,,104,,Uzura-chan no Kakurenbo,#23978,,,#14945,G - All Ages,,,N/A,,Picture book,Finished Airing,,,,,,OVA
"Sep 28, 2018 to Feb 22, 2019",,https://cdn.myanimelist.net/images/anime/1817/104328.jpg,,17 min. per ep.,,,4,139,"Hentai,Supernatural",38034,Tiny Evil,,"19,420",,Tiny Evil,#5135,,,N/A,Rx - Hentai,Adaptation (Doujinshi) - (https://myanimelist.net/manga/110373/Tiny_Evil),https://anidb.net/perl-bin/animedb.pl?show=anime&aid=14194,7.08,,,Finished Airing,,Majin,,"In a last-ditch effort to lose his virginity and die right after, Takeshi draws a demonic circle in hopes of summoning a succubus to wring him dry. He successfully calls upon one named Miyu, however, she is also a virgin—completely inexperienced with her sole purpose. While Miyu's best efforts to please Takeshi to the point of killing him are not fully effective, perhaps the unity of these two virgins can help them realize their true destinies. Meanwhile, a man named Shuu has recently moved to a new apartment where he notices a blonde doll sitting above his closet. Following the decision to take care of it out of fear that a curse will befall him if he disposes of it instead, he finds himself brimming with good luck. Eventually, the doll assumes a human form and introduces herself as Nina. As if things could not get any better, she promptly proceeds to alleviate Shuu's sexual desires. [Written by MAL Rewrite]",,OVA
"Oct 1, 2007",,https://cdn.myanimelist.net/images/anime/4/13509.jpg,Kids,1 hr. 21 min.,,Sparkling Red Star,1,0,,6150,闪闪的红星—红星小勇士,,447,,Shanshan de Hongxing: Hongxing Xiao Yongshi,#17372,,,#13813,G - All Ages,,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=5683,https://zh.wikipedia.org/zh-hans/%E9%96%83%E9%96%83%E7%9A%84%E7%B4%85%E6%98%9F%E4%B9%8B%E7%B4%85%E6%98%9F%E5%B0%8F%E5%8B%87%E5%A3%AB",N/A,http://www.sparklingredstarmovie.com/flash/,Other,Finished Airing,,Puzzle Animation Studio Limited,Shan Shan de Hong Xing: Hai Zi de Tian Kong,"Adapted from renowned writer Li Xintian's same-titled novel, animated film Sparkling Red Star is a heartwarming, colorful, and patriotic children's story set in 1930s China. Naked Ambition and Love on the Rocks director Lam Chiu Yin makes a rather significant departure from his previous works to present the big adventures of a little comrade. Growing up in a time of chaos, carefree village boy Dongzi greatly admires his brave Red Army soldier father and the Red Guards who have protected his village from the evil landlord. When Dongzi's father leaves for the Long March, he gives a sparkling red star to his son. This red star becomes Dongzi's protector in the subsequent years as he encounters numerous hardships and slowly comes of age during the changing tides of wartime China.",Historical,Movie
"Jul 2, 2023 to Sep 17, 2023",Sundays at 00:00 (JST),https://cdn.myanimelist.net/images/anime/1079/136949.jpg,,26 min. per ep.,'Arrow (アロー)' by Awkmiu,Atelier Ryza: Ever Darkness & the Secret Hideout The Animation,12,227,"Adventure,Fantasy",54760,ライザのアトリエ ~常闇の女王と秘密の隠れ家~,,"71,854",'Golden Ray (ゴールデンレイ)' by Sangatsu no Phantasia (三月のパンタシア),Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,#2701,Summer 2023,"Aniplex,Movic,Studio Mausu,BS11,Koei Tecmo Games,Wonderful Works",#7608,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/131524/Ryza_no_Atelier__Tokoyami_no_Joou_to_Himitsu_no_Kakurega) | Alternative Setting - (https://myanimelist.net/anime/21167/Escha___Logy_no_Atelier__Tasogare_no_Sora_no_Renkinjutsushi ; ) | Other - (https://myanimelist.net/anime/55908/Golden_Ray ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=17920,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=27522,https://en.wikipedia.org/wiki/Atelier_Ryza:_Ever_Darkness_&_the_Secret_Hideout,https://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%A4%E3%82%B6%E3%81%AE%E3%82%A2%E3%83%88%E3%83%AA%E3%82%A8_%E3%80%9C%E5%B8%B8%E9%97%87%E3%81%AE%E5%A5%B3%E7%8E%8B%E3%81%A8%E7%A7%98%E5%AF%86%E3%81%AE%E9%9A%A0%E3%82%8C%E5%AE%B6%E3%80%9C,https://cal.syoboi.jp/tid/6713",6.41,"https://ar-anime.com/,https://twitter.com/Ryza_PR",Game,Finished Airing,"http://www.crunchyroll.com/series-283698,https://www.aniplus-asia.com/,https://ani.gamer.com.tw/",LIDENFILMS,,"From her hometown to her daily life on Kurken Island, everything surrounding Reisalin 'Ryza' Stout is painfully ordinary. Despite being the daughter of a hardworking farmer, she would rather go on pretend adventures as she explores almost every corner of the island. However, the fact that it is against the local customs to venture off Kurken Island irritates her to no end. One day, wishing for something interesting to finally happen in her life, Ryza escapes on a boat with her two good friends: the bookworm Tao Mongarten and the aspiring warrior Lent Marslink. Arriving at a nearby forest, the trio stumbles into Klaudia Valentz, the daughter of a visiting merchant who also wandered off into the woods. As the naive and underprepared group ventures further, they run into dangerous monsters. Thankfully, they are rescued by the alchemist Empel Vollmer and his skilled bodyguard Lila Decyrus. This fateful encounter will lead Ryza to the key that will change her life forever—the creative and wonderful world of alchemy. [Written by MAL Rewrite]",,TV
Sep 2010 to Dec 2010,Unknown,https://cdn.myanimelist.net/images/anime/1752/128080.jpg,Kids,14 min. per ep.,,,36,0,,46229,趣味三十六计,,101,,Quwei San Shi Liu Ji,#24107,Fall 2010,,#18536,PG - Children,,https://baike.baidu.com/item/%E8%B6%A3%E5%91%B3%E4%B8%89%E5%8D%81%E5%85%AD%E8%AE%A1/7013388,N/A,https://www.bilibili.com/bangumi/play/ep398999?from=search&seid=10629479467426180571,Original,Finished Airing,,,Quwei Sanshiliu Ji,,,TV
